https://github.com/adiyoss/turk/blob/master/0/1.wav,Tragic stage
https://github.com/adiyoss/turk/blob/master/1/1.wav,Any contribution
https://github.com/adiyoss/turk/blob/master/2/1.wav,Westchester is a county
https://github.com/adiyoss/turk/blob/master/3/1.wav,Will pay you
https://github.com/adiyoss/turk/blob/master/4/1.wav,Previous speakers
https://github.com/adiyoss/turk/blob/master/5/1.wav,I'm going to search
https://github.com/adiyoss/turk/blob/master/6/1.wav,I ate every
https://github.com/adiyoss/turk/blob/master/7/1.wav,He used an aggressive 
https://github.com/adiyoss/turk/blob/master/8/1.wav,He apply auditory
https://github.com/adiyoss/turk/blob/master/9/1.wav,That would make
https://github.com/adiyoss/turk/blob/master/10/1.wav,In some measure the
https://github.com/adiyoss/turk/blob/master/11/1.wav,No price is too high
https://github.com/adiyoss/turk/blob/master/12/1.wav,It was a hopeful sign
https://github.com/adiyoss/turk/blob/master/13/1.wav,Two artists exchange
https://github.com/adiyoss/turk/blob/master/14/1.wav,Will you please
https://github.com/adiyoss/turk/blob/master/15/1.wav,He used an aggressive
https://github.com/adiyoss/turk/blob/master/16/1.wav,Cartoon feature
https://github.com/adiyoss/turk/blob/master/17/1.wav,Allow each child
https://github.com/adiyoss/turk/blob/master/18/1.wav,Spring street
https://github.com/adiyoss/turk/blob/master/19/1.wav,Will you please describe
https://github.com/adiyoss/turk/blob/master/20/1.wav,He praises many
https://github.com/adiyoss/turk/blob/master/21/1.wav,How much allowance do you
https://github.com/adiyoss/turk/blob/master/22/1.wav,Dolphins are intelligent 
https://github.com/adiyoss/turk/blob/master/23/1.wav,The water contain
https://github.com/adiyoss/turk/blob/master/24/1.wav,It must be remembered
https://github.com/adiyoss/turk/blob/master/25/1.wav,Tragic stage
https://github.com/adiyoss/turk/blob/master/26/1.wav,Any contribution
https://github.com/adiyoss/turk/blob/master/27/1.wav,Westchester is a county
https://github.com/adiyoss/turk/blob/master/28/1.wav,Will pay you
https://github.com/adiyoss/turk/blob/master/29/1.wav,Previous speakers
https://github.com/adiyoss/turk/blob/master/30/1.wav,I'm going to search
https://github.com/adiyoss/turk/blob/master/31/1.wav,I ate every
https://github.com/adiyoss/turk/blob/master/32/1.wav,He used an aggressive 
https://github.com/adiyoss/turk/blob/master/33/1.wav,He apply auditory
https://github.com/adiyoss/turk/blob/master/34/1.wav,That would make
https://github.com/adiyoss/turk/blob/master/35/1.wav,In some measure the
https://github.com/adiyoss/turk/blob/master/36/1.wav,No price is too high
https://github.com/adiyoss/turk/blob/master/37/1.wav,It was a hopeful sign
https://github.com/adiyoss/turk/blob/master/38/1.wav,Two artists exchange
https://github.com/adiyoss/turk/blob/master/39/1.wav,Will you please
https://github.com/adiyoss/turk/blob/master/40/1.wav,He used an aggressive
https://github.com/adiyoss/turk/blob/master/41/1.wav,Cartoon feature
https://github.com/adiyoss/turk/blob/master/42/1.wav,Allow each child
https://github.com/adiyoss/turk/blob/master/43/1.wav,Spring street
https://github.com/adiyoss/turk/blob/master/44/1.wav,Will you please describe
https://github.com/adiyoss/turk/blob/master/45/1.wav,He praises many
https://github.com/adiyoss/turk/blob/master/46/1.wav,How much allowance do you
https://github.com/adiyoss/turk/blob/master/47/1.wav,Dolphins are intelligent 
https://github.com/adiyoss/turk/blob/master/48/1.wav,The water contain
https://github.com/adiyoss/turk/blob/master/49/1.wav,It must be remembered
